"projectID";"ai";"biodiversity";"cleanAir";"climate";"digitalAgenda"
"101132777";"0";"0";"40";"40";"40"
"101093987";"0";"0";"0";"0";"0"
"101137770";"0";"0";"100";"100";"0"
"101137092";"40";"0";"0";"0";"40"
"101057251";"40";"0";"0";"0";"0"
"101159665";"0";"0";"0";"0";"0"
"101073920";"0";"0";"0";"0";"0"
"101094901";"0";"0";"0";"0";"40"
"101114684";"100";"0";"0";"0";"100"
"101061424";"0";"0";"0";"0";"0"
"101123467";"0";"0";"0";"100";"0"
"101120221";"0";"0";"0";"0";"100"
"101095874";"40";"0";"40";"40";"40"
"101114855";"0";"0";"40";"40";"40"
"101075665";"0";"0";"40";"40";"40"
"101192574";"0";"0";"0";"100";"0"
"101167020";"100";"40";"40";"100";"40"
"101114847";"100";"0";"0";"0";"100"
"101112039";"0";"0";"40";"100";"0"
"101112185";"0";"0";"0";"0";"40"
"101080711";"40";"0";"0";"0";"40"
"101094052";"0";"0";"0";"0";"0"
"101073963";"40";"0";"0";"0";"0"
"101060749";"0";"0";"0";"0";"0"
"101190733";"0";"0";"0";"40";"0"
"101132356";"40";"0";"0";"0";"40"
"101145636";"0";"0";"0";"0";"0"
"101080874";"100";"0";"0";"0";"100"
"101137584";"0";"0";"40";"100";"0"
"101155873";"0";"0";"0";"0";"40"
"101080243";"40";"0";"0";"0";"0"
"101096826";"0";"0";"0";"0";"0"
"101096508";"0";"0";"0";"100";"40"
"101095593";"0";"0";"0";"0";"40"
"101147781";"0";"0";"40";"100";"0"
"101057825";"0";"0";"0";"0";"0"
"101177819";"0";"0";"0";"0";"0"
"101178821";"40";"0";"0";"0";"40"
"101075515";"0";"0";"0";"100";"0"
"101145790";"0";"0";"0";"0";"0"
"101094837";"0";"0";"0";"0";"0"
"101070537";"0";"0";"0";"0";"0"
"101083558";"0";"0";"0";"100";"0"
"101172870";"0";"0";"0";"100";"0"
"101160663";"0";"0";"0";"100";"0"
"101146932";"0";"0";"0";"100";"0"
"101135828";"0";"0";"0";"100";"40"
"101073795";"0";"0";"0";"0";"0"
"101111899";"0";"0";"0";"100";"0"
"101103921";"0";"0";"0";"100";"0"
"101168360";"40";"0";"0";"0";"100"
"101121309";"40";"0";"0";"0";"0"
"101146684";"0";"0";"40";"100";"40"
"101073909";"40";"0";"0";"0";"0"
