ID,Name,Count
15725814600,Jayakumar C.,2
15725925600,Pereira L.F.D.,1
15726150900,Ren Z.,1
15726449300,Waldron P.,1
15727013400,Ye Z.,2
15727509700,Baboulin M.,2
15728784800,Wang Z.-M.,1
15730042500,Martins F.T.,2
15731851300,Puchała Z.,1
15736068300,Lengler J.,1
15738564500,Kristjansen C.,1
15738882100,Strambini E.,2
15741048900,Fukuda D.,1
15745009800,Brinkman A.,3
15749882800,Aliev Z.S.,2
15750599700,Gross D.,5
15750712300,Guan Z.,7
15751434700,Perrine T.M.,1
15751597300,Runciman B.,2
15755570500,Kolosova O.S.,1
15755883100,Liu J.-S.,2
15756643000,Pensack R.D.,7
15758058000,Malhotra R.,1
15758862200,De Michielis M.,2
15758899800,Buchs G.,1
15758905400,Black-Schaffer A.M.,1
15760017200,Knoops H.,2
15760139600,Mesnager S.,1
15760247400,Lin H.,1
15760428100,Migliore A.,4
15760896300,Salfi J.,3
15760949100,Reinhard F.,1
15761417900,Tong C.,1
15761614300,Yuan K.-G.,2
15761724700,Fresch B.,1
15761759100,Evnin O.,2
15762190900,Fidkowski L.,1
15762244000,Feng X.,1
15762531900,Garcia-Aracil N.,2
15762799100,Hamze F.,2
15762819600,Li J.,1
15762920500,Mori R.,2
15763270200,Muthu S.,2
15764116900,Yu Y.,1
15764374600,Cho Y.-I.,1
15764447700,Amanti M.I.,3
15764637700,Bravaya K.B.,2
15765065800,Gu J.,1
15765485000,Liu H.,1
15765887700,Oh N.,1
15766156500,Peltonen J.T.,1
15766602000,Westman H.,1
15769041200,Calheiros R.N.,1
15770244400,Riedel M.,2
15821908900,Dalla Torre E.G.,1
15821925900,Berg E.,1
15822361800,Michail C.M.,2
15822659300,Huang X.-G.,2
15822731500,Rößler S.,3
15823065800,Schmiegelow C.T.,2
15823079400,Saira O.-P.,1
15823177100,Scheidl T.,1
15824815600,El-Sherbiny M.M.,1
15827316500,Bansal S.,1
15829295900,Akhmerov A.,4
15829783900,Kuo C.-N.,1
